Last time : 2017-04-09 11:54:57 , temperature :  25.75
Last time : 2017-04-09 11:54:59 , temperature :  25.75
Last time : 2017-04-09 11:55:01 , temperature :  25.75
Last time : 2017-04-09 11:55:02 , temperature :  25.75
Last time : 2017-04-09 11:55:04 , temperature :  25.75
Last time : 2017-04-09 11:55:06 , temperature :  25.75
Last time : 2017-04-09 11:55:08 , temperature :  25.75
Last time : 2017-04-09 11:55:10 , temperature :  25.75
Last time : 2017-04-09 11:55:11 , temperature :  25.75
Last time : 2017-04-09 11:55:13 , temperature :  25.75
Last time : 2017-04-09 11:55:15 , temperature :  25.75
Last time : 2017-04-09 11:55:17 , temperature :  25.69
Last time : 2017-04-09 11:55:19 , temperature :  25.69
Last time : 2017-04-09 11:55:20 , temperature :  25.69
Last time : 2017-04-09 11:55:22 , temperature :  25.69
Last time : 2017-04-09 11:55:24 , temperature :  25.69
Last time : 2017-04-09 11:55:26 , temperature :  25.75
Last time : 2017-04-09 11:55:28 , temperature :  25.75
Last time : 2017-04-09 11:55:29 , temperature :  25.69
Last time : 2017-04-09 11:55:31 , temperature :  25.75
Last time : 2017-04-09 11:55:33 , temperature :  25.69
Last time : 2017-04-09 11:55:35 , temperature :  25.75
Last time : 2017-04-09 11:55:37 , temperature :  25.69
Last time : 2017-04-09 11:55:39 , temperature :  25.69
Last time : 2017-04-09 11:55:40 , temperature :  25.69
Last time : 2017-04-09 11:55:42 , temperature :  25.69
Last time : 2017-04-09 11:55:44 , temperature :  25.69
Last time : 2017-04-09 11:55:46 , temperature :  25.69
Last time : 2017-04-09 11:55:48 , temperature :  25.69
Last time : 2017-04-09 11:55:49 , temperature :  25.69
Last time : 2017-04-09 11:55:51 , temperature :  25.69
Last time : 2017-04-09 11:55:53 , temperature :  25.69
Last time : 2017-04-09 11:55:55 , temperature :  25.69
Last time : 2017-04-09 11:55:57 , temperature :  25.69
Last time : 2017-04-09 11:55:59 , temperature :  25.69
Last time : 2017-04-09 11:56:00 , temperature :  25.69
Last time : 2017-04-09 11:56:02 , temperature :  25.69
Last time : 2017-04-09 11:56:04 , temperature :  25.69
Last time : 2017-04-09 11:56:06 , temperature :  25.69
Last time : 2017-04-09 11:56:08 , temperature :  25.69
Last time : 2017-04-09 11:56:10 , temperature :  25.69
Last time : 2017-04-09 11:56:11 , temperature :  25.69
Last time : 2017-04-09 11:56:13 , temperature :  25.69
Last time : 2017-04-09 11:56:15 , temperature :  25.69
Last time : 2017-04-09 11:56:17 , temperature :  25.69
Last time : 2017-04-09 11:56:19 , temperature :  25.69
Last time : 2017-04-09 11:56:20 , temperature :  25.69
Last time : 2017-04-09 11:56:22 , temperature :  25.69
Last time : 2017-04-09 11:56:24 , temperature :  25.69
Last time : 2017-04-09 11:56:26 , temperature :  25.69
Last time : 2017-04-09 11:56:28 , temperature :  25.69
Last time : 2017-04-09 11:56:30 , temperature :  25.69
Last time : 2017-04-09 11:56:31 , temperature :  25.69
Last time : 2017-04-09 11:56:33 , temperature :  25.69
Last time : 2017-04-09 11:56:35 , temperature :  25.69
Last time : 2017-04-09 11:56:37 , temperature :  25.69
Last time : 2017-04-09 11:56:39 , temperature :  25.69
Last time : 2017-04-09 11:56:41 , temperature :  25.69
Last time : 2017-04-09 11:56:42 , temperature :  25.69
Last time : 2017-04-09 11:56:44 , temperature :  25.75
